wallet_address,amount_received,wallet_lifetime,last_transaction_time,annotation
0xe3777765e49f7f7c76ddea2dd97ff94703f96ff7,0.8330711037515975,422,2019-01-28 20:34:57,cryptopia
0x38e98690244d9ff7b6b4f48ffcfd9e0f12eb34eb,0.406600775,408,2019-01-28 19:54:23,cryptopia
0x5d5bdd2d6f48cf653cef6fdd96cd6047dbd96681,1.6959685297297604,420,2019-01-28 19:39:02,cryptopia
0x9ce53b8c44a215c7391ae05ac81b2321319bfdcd,0.02946,416,2019-01-28 19:53:09,cryptopia
0x843162abe19db2f43094b12368970b1c471ed0f0,1.8765941522810397,415,2019-01-28 21:05:32,cryptopia
0x8680b7db704d6ea06f55ccc0d6a51abd294db9a8,1.4389492955328536,416,2019-01-28 20:15:46,cryptopia
0x9b52ffae208ac0945678b4096c82df83c669305d,2.47119551,441,2019-01-28 20:19:54,cryptopia
0xd4c8c5a0e6857d41cebb23923d848700089ce68b,7.422745256696072,563,2019-01-28 19:34:40,cryptopia
0x2c8e3e188786b63c0ebf995722f8ba660c431c70,0.79122331,452,2019-01-28 19:31:34,cryptopia
0xea7361c1581cdfa854c957fb4b402f7a2d386e73,0.29350132,419,2019-01-28 19:25:40,cryptopia
0xd5ff767117739f75bced2a515d353a49db12ea42,6.975972606709999,516,2019-01-28 19:32:43,cryptopia
0x8686856baf057c3c0ac0111d11e23cb153767632,0.83484406,402,2019-01-28 19:31:13,cryptopia
0xbfd0cb5e7f09cc537a64471e661f4f14115b9615,0.13503494780642883,415,2019-01-28 19:22:08,cryptopia
0xfaccae1c1a213a686292235775e357d072ca2142,1.7124590058773754,450,2019-01-28 18:57:00,cryptopia
0xa2502adcbdd30e799812898f121805a63b4b3ebf,2.1749486257708464,517,2019-01-28 18:49:18,cryptopia
0x4f8271205c10605859d7785fdb7f995d99720ed6,2.1301,437,2019-01-28 18:05:11,cryptopia
0xc1c5c2ccad09bbe0fd0d248423885ff10df6b9ff,0.761109761,408,2019-01-28 18:57:00,cryptopia
0x96ac9ca3f3b7ed5eb4b5ea0f294a3258e061a223,0.145,432,2019-03-31 04:59:58,cryptopia
0xdb964187ba87b443e58d915291d18d4efd99eb47,0.8581909655010181,485,2019-01-28 17:54:54,cryptopia
0x6d177c98fc8f35460d4cd52c9354e41a470827b5,0.34865764,565,2019-01-28 18:05:38,cryptopia
0x23310ad097a8c811369eacbda2f8785177c17abc,3.403924056521901,412,2019-01-28 17:21:15,cryptopia
0x43942e6b4bc0bffd86931e2ae89d3056965f378d,0.87131839,421,2019-01-28 16:50:22,cryptopia
0x941fd6534a782afe3e1043356610b758a9170403,15.333515414695231,441,2019-01-28 17:31:14,cryptopia
0xe0d25e8092c480e2a44029543bd3640c46d735d5,0.47390496,503,2019-01-28 16:48:29,cryptopia
0xd80fb055f4a16e96337b08f90597b445ca38e59d,0.43,451,2019-01-28 19:00:25,cryptopia
0x7fd196b298e6039f3a4cda689c26f893a9af65b2,10.22139369,415,2019-01-28 18:17:14,cryptopia
0xf30746d12baeec77261e4f226c8cf3b32822ba30,31.854491010000004,425,2019-01-28 18:14:39,cryptopia
0x336de27f9aab659d3f1aec9ee9647a36afb4b7bf,0.485291241408496,517,2019-01-28 19:11:08,cryptopia
0x8fc6007ac0736a0c6fc1d4254ce38c37a187bf29,0.839523428,450,2019-01-28 18:18:17,cryptopia
0x29ce8742a009155ec5b2b675324d24f8cc66e898,1.3554,449,2019-01-28 18:38:55,cryptopia
0xc95c97eb552d2a3e2cb2c6262f2afaed62ae3633,0.0437437651897551,393,2019-01-28 18:40:32,cryptopia
0xeae7519d2d05c3852c398d4239963a77802ddb2f,1.250747555346834,557,2019-01-28 19:18:04,cryptopia
0x929f546f25b4d266aaab3fea235d2c811baf574d,6.887505592600375,430,2019-01-28 18:37:59,cryptopia
0xab2ababb5c70616626de09e691729251ca2df6d6,14.327527837,526,2019-01-28 18:23:18,cryptopia
0xd37c13ec20282b00f15faf73460b799b629119b0,20.823568589847728,420,2019-01-28 17:31:14,cryptopia
0x35ad49adce1d9b087680713824195b7e100b7ee2,1.23496,410,2019-01-28 18:35:21,cryptopia
0xd6a23fde400e467d6bd9c2c37dacdd8a5673d349,11.029606569999999,551,2019-01-28 19:07:52,cryptopia
0xa791bffff90748c8e26aa1d2d9ab5c79967ea456,1.361771946,411,2019-01-28 18:59:57,cryptopia
0x3aa61eac530c38f0a1d3d75844ab4b5f28c05f22,1.13626431,542,2019-01-28 17:36:13,cryptopia
0x7365d91666368cf08ccad65ec593d5442fe3ab59,3.063769,436,2019-01-28 16:48:01,cryptopia
